|K200|31072024|1.0|565|0||
|K200|31072024|3.0|11976|0||
|K200|31072024|5.0|76540|0||
|K200|31072024|6.0|83115|0||
|K200|31072024|9.0|66955|0||
|K200|31072024|10.0|82889|0||
|K200|31072024|18.0|1883|0||
|K200|31072024|19.0|2196|0||
|K200|31072024|26.0|7840|0||
|K200|31072024|27.0|490|0||
|K200|31072024|28.0|3715|0||
|K200|31072024|29.0|885|0||
|K200|31072024|30.0|68|0||
|K200|31072024|31.0|4310|0||
|K200|31072024|32.0|4868|0||
|K200|31072024|33.0|5270|0||
|K200|31072024|34.0|16921|0||
|K200|31072024|37.0|50|0||
|K200|31072024|38.0|230|0||
|K200|31072024|39.0|170|0||
|K200|31072024|40.0|50|0||
|K200|31072024|41.0|12400|0||
|K200|31072024|49.0|108|0||
|K200|31072024|50.0|5685|0||
|K200|31072024|51.0|1030|0||
|K200|31072024|52.0|1200|0||
|K200|31072024|53.0|104|0||
|K200|31072024|54.0|475|0||
|K200|31072024|55.0|640|0||
|K200|31072024|57.0|94|0||
|K200|31072024|58.0|1000|0||
|K200|31072024|59.0|1495|0||
|K200|31072024|65.0|85|0||
|K200|31072024|66.0|635|0||
|K200|31072024|67.0|136|0||
|K200|31072024|68.0|1000|0||
|K200|31072024|70.0|35|0||
|K200|31072024|77.0|1120|0||
|K200|31072024|78.0|360|0||
|K200|31072024|84.0|5110|0||
|K200|31072024|85.0|1575|0||
|K200|31072024|106.0|2822|0||
|K200|31072024|107.0|5380|0||
|K200|31072024|108.0|4370|0||
|K200|31072024|110.0|1264|0||
|K200|31072024|111.0|1235|0||
|K200|31072024|112.0|1202|0||
|K200|31072024|113.0|1208|0||
|K200|31072024|115.0|13119|0||
|K200|31072024|116.0|10060|0||
|K200|31072024|117.0|1431|0||
|K200|31072024|118.0|1607|0||
|K200|31072024|119.0|1140|0||
|K200|31072024|120.0|2282|0||
|K200|31072024|121.0|1938|0||
|K200|31072024|122.0|260|0||
|K200|31072024|123.0|5442|0||
|K200|31072024|124.0|5168|0||
|K200|31072024|125.0|7531|0||
|K200|31072024|127.0|1000|0||
|K200|31072024|130.0|300|0||
|K200|31072024|142.0|380|0||
|K200|31072024|144.0|220|0||
|K200|31072024|189.0|64|0||
|K200|31072024|212.0|240|0||
|K200|31072024|241.0|500|0||
|K200|31072024|242.0|302|0||
|K200|31072024|2010.0|1000|0||
|K200|31072024|2011.0|1300|0||
|K200|31072024|2035.0|230|0||
|K200|31072024|2081.0|30|0||
|K200|31072024|2118.0|230|0||
|K200|31072024|2120.0|199|0||
|K200|31072024|2123.0|370|0||
|K200|31072024|2194.0|216|0||
|K200|31072024|2196.0|624|0||
|K200|31072024|2201.0|1250|0||
|K200|31072024|2216.0|165|0||
|K200|31072024|2229.0|100|0||
|K200|31072024|2230.0|390|0||
|K200|31072024|2239.0|1300|0||
|K200|31072024|2249.0|1050|0||
|K200|31072024|2255.0|1000|0||
|K200|31072024|2284.0|235|0||
|K200|31072024|2285.0|480|0||
|K200|31072024|2291.0|205|0||
|K200|31072024|2296.0|345|0||
|K200|31072024|2299.0|465|0||
|K200|31072024|2317.0|390|0||
|K200|31072024|2318.0|500|0||
|K200|31072024|2435.0|90|0||
|K200|31072024|2441.0|800|0||
|K200|31072024|2450.0|5265|0||
|K200|31072024|2475.0|4950|0||
|K200|31072024|2478.0|200|0||
|K200|31072024|2479.0|200|0||
|K200|31072024|2488.0|870|0||
|K200|31072024|2491.0|220|0||
|K200|31072024|2499.0|210|0||
|K200|31072024|2511.0|460|0||
|K200|31072024|2518.0|150|0||
|K200|31072024|2519.0|1545|0||
|K200|31072024|2545.0|150|0||
|K200|31072024|2559.0|7850|0||
|K200|31072024|2560.0|550|0||
|K200|31072024|2575.0|4260|0||
|K200|31072024|2576.0|4315|0||
|K200|31072024|2577.0|2160|0||
|K200|31072024|2587.0|300|0||
|K200|31072024|2592.0|280|0||
|K200|31072024|2594.0|2695|0||
|K200|31072024|2599.0|2200|0||
|K200|31072024|2602.0|920|0||
|K200|31072024|2658.0|30|0||
|K200|31072024|2659.0|200|0||
|K200|31072024|2673.0|320|0||
|K200|31072024|2709.0|196|0||
|K200|31072024|2710.0|220|0||
|K200|31072024|2720.0|200|0||
|K200|31072024|2733.0|60|0||
|K200|31072024|2750.0|500|0||
|K200|31072024|2754.0|30|0||
|K200|31072024|2755.0|200|0||
|K200|31072024|2760.0|100|0||
|K200|31072024|2761.0|250|0||
|K200|31072024|2762.0|900|0||
